OID;Tipo Organismo;Inciso;UE;Nombre Inciso;Nombre UE;Nombre Organismo;Divisi�n;Departamento;Programa;Proyecto;Anio;Mes;Tipo de Gasto;Objeto de Gasto;Auxiliar;Fuente de Financiamiento;Moneda;Asignaci�n;Ejecuci�n
2168580026;Servicio Descentralizado;67;1;Adm. Nacional de Correos;Adm. Nacional de Correos;Adm. Nacional de Correos;vacio;vacio;1;100;2017;vacio;Inversi�n;100;0;Recursos propios;Pesos Uruguayos;0;116708
2168580026;Servicio Descentralizado;67;1;Adm. Nacional de Correos;Adm. Nacional de Correos;Adm. Nacional de Correos;vacio;vacio;1;100;2017;vacio;Inversi�n;200;0;Recursos propios;Pesos Uruguayos;6897600;570954
2168580026;Servicio Descentralizado;67;1;Adm. Nacional de Correos;Adm. Nacional de Correos;Adm. Nacional de Correos;vacio;vacio;1;100;2017;vacio;Inversi�n;300;0;Recursos propios;Pesos Uruguayos;17879556;8228771
2168580026;Servicio Descentralizado;67;1;Adm. Nacional de Correos;Adm. Nacional de Correos;Adm. Nacional de Correos;vacio;vacio;1;100;2017;vacio;Inversi�n;300;0;UPU-UPAEP;Pesos Uruguayos;4311000;0
2168580026;Servicio Descentralizado;67;1;Adm. Nacional de Correos;Adm. Nacional de Correos;Adm. Nacional de Correos;vacio;vacio;1;100;2017;vacio;Inversi�n;300;0;BID-FOMIN;Pesos Uruguayos;17244000;0
2168580026;Servicio Descentralizado;67;1;Adm. Nacional de Correos;Adm. Nacional de Correos;Adm. Nacional de Correos;vacio;vacio;1;200;2017;vacio;Inversi�n;100;0;Recursos propios;Pesos Uruguayos;2151899;173094
2168580026;Servicio Descentralizado;67;1;Adm. Nacional de Correos;Adm. Nacional de Correos;Adm. Nacional de Correos;vacio;vacio;1;200;2017;vacio;Inversi�n;200;0;Recursos propios;Pesos Uruguayos;33282911;14668369
2168580026;Servicio Descentralizado;67;1;Adm. Nacional de Correos;Adm. Nacional de Correos;Adm. Nacional de Correos;vacio;vacio;1;200;2017;vacio;Inversi�n;300;0;Recursos propios;Pesos Uruguayos;3507431;2274501
2168580026;Servicio Descentralizado;67;1;Adm. Nacional de Correos;Adm. Nacional de Correos;Adm. Nacional de Correos;vacio;vacio;1;300;2017;vacio;Inversi�n;200;0;Recursos propios;Pesos Uruguayos;112778;0
2168580026;Servicio Descentralizado;67;1;Adm. Nacional de Correos;Adm. Nacional de Correos;Adm. Nacional de Correos;vacio;vacio;1;300;2017;vacio;Inversi�n;300;0;Recursos propios;Pesos Uruguayos;1414147;1042742
2168580026;Servicio Descentralizado;67;1;Adm. Nacional de Correos;Adm. Nacional de Correos;Adm. Nacional de Correos;vacio;vacio;1;400;2017;vacio;Inversi�n;100;0;Recursos propios;Pesos Uruguayos;287400;0
2168580026;Servicio Descentralizado;67;1;Adm. Nacional de Correos;Adm. Nacional de Correos;Adm. Nacional de Correos;vacio;vacio;1;400;2017;vacio;Inversi�n;200;0;Recursos propios;Pesos Uruguayos;0;67181
2168580026;Servicio Descentralizado;67;1;Adm. Nacional de Correos;Adm. Nacional de Correos;Adm. Nacional de Correos;vacio;vacio;1;400;2017;vacio;Inversi�n;300;0;Recursos propios;Pesos Uruguayos;5187656;2451101
2168580026;Servicio Descentralizado;67;1;Adm. Nacional de Correos;Adm. Nacional de Correos;Adm. Nacional de Correos;vacio;vacio;1;PLP;2017;vacio;Inversi�n;200;0;CAF;Pesos Uruguayos;117489120;167594535
2168580026;Servicio Descentralizado;67;1;Adm. Nacional de Correos;Adm. Nacional de Correos;Adm. Nacional de Correos;vacio;vacio;1;PLP;2017;vacio;Inversi�n;300;0;CAF;Pesos Uruguayos;43454880;0
2168580026;Servicio Descentralizado;67;1;Adm. Nacional de Correos;Adm. Nacional de Correos;Adm. Nacional de Correos;vacio;vacio;1;PLP;2017;vacio;Inversi�n;200;0;MEF;Pesos Uruguayos;50352480;11427879
2168580026;Servicio Descentralizado;67;1;Adm. Nacional de Correos;Adm. Nacional de Correos;Adm. Nacional de Correos;vacio;vacio;1;PLP;2017;vacio;Inversi�n;300;0;MEF;Pesos Uruguayos;18623520;0
2168580026;Servicio Descentralizado;67;1;Adm. Nacional de Correos;Adm. Nacional de Correos;Adm. Nacional de Correos;vacio;vacio;1;PLP;2017;vacio;Inversi�n;300;0;Recursos propios;Pesos Uruguayos;0;0
2168580026;Servicio Descentralizado;67;1;Adm. Nacional de Correos;Adm. Nacional de Correos;Adm. Nacional de Correos;vac�o;vac�o;1;0;2018;vac�o;Operativo;11;1;Recursos propios;Pesos uruguayos;3.90207E+11;31613855602
2168580026;Servicio Descentralizado;67;1;Adm. Nacional de Correos;Adm. Nacional de Correos;Adm. Nacional de Correos;vac�o;vac�o;1;0;2018;vac�o;Operativo;11;4;Recursos propios;Pesos uruguayos;361351539;36135465
2168580026;Servicio Descentralizado;67;1;Adm. Nacional de Correos;Adm. Nacional de Correos;Adm. Nacional de Correos;vac�o;vac�o;1;0;2018;vac�o;Operativo;12;0;Recursos propios;Pesos uruguayos;8.03506E+13;76324401
