Municipio;Nombre de la iniciativa;Actividad/es;Dirección;Día(s);Horario;Mes;Año
D;Entre todos Podemos;Olla y Merendero;Guenoas 3661 esq. San Martín;Lunes a domingo;17 y 21 hs;junio;2021
D;Brigada Solidaria;Olla;Dunant 4237;Miércoles y viernes;19 hs;junio;2021
D;Lo del Abuelo;Olla y Merendero;Calle 387 Complejo Padre Cacho;Lunes, Miércoles y Sábado;Olla: Lunes y Sábado. Merendero: Miércoles.;junio;2021
D;Olla Pasaje 307;Olla y Merendero;Pasaje 307;Todos los días;Lunes a viernes olla, entregan viandas. Sábado y Domingo merendero, tortas fritas y leche.;junio;2021
D;Olla Marconi Tiene Esperanza;Olla y Merendero;Pasaje H 4125 entre luis artagaveytia y luis bottaro;Lunes a Domingo;17 y 19hs;junio;2021
D;Olla Plácido Ellauri;Olla y Merendero;Enrique Castro y Pasaje B;Lunes a jueves;17hs;junio;2021
D;Juntos Podemos Club Atletico Rosario;Olla y Merendero;Continuación senda 15 número 4935 entre Gustavo Volpe esquina martirine;Lunes a Viernes;13:00 olla 17hs merendero;junio;2021
D;Olla Merendero Nuevo Ellauri 4;Olla y Merendero;Calle G 366 esq Teniente Rinaldi;Lunes, miércoles y sábado;Lunes y miércoles merendero, sábado olla;junio;2021
D;Olla Odara (Monica);Olla y Merendero;Leandro Gomez 5171 esq. San Martín;Lunes, miércoles y viernes;S/D;junio;2021
D;viandas solidaria garubeba;Olla y Merendero;juan acosta casa 5 block A complejo Ch 38;Lunes, miércoles y domingos;S/D;junio;2021
D;Olla la humildad;Olla y Merendero;Juan Acosta 4957 bis esq. Alejandro Nogueira;Martes, jueves y Sábado;17:30 y 19 hs;junio;2021
D;Olla y Merendero Virgen de Lourdes;Olla y Merendero;Enrique Claveaux 3153 bis;Lunes, martes y miércoles;14 hs;junio;2021
D;Merendero los Milagros;Merendero;Ramón Arana pasaje 3 5257 esquina esperanza;Lunes a Viernes;16hs;junio;2021
D;Olla y Merendero las Hermanas;Olla y Merendero;Matilde Pacheco 4950 esquina vecinal 1;Lunes, miércoles y viernes;15 hs;junio;2021
D;Olla Mercado Modelo;Olla;Parma 3070 esq.Canstatt y Francisco Arrieta;sábados;19:00 hs;junio;2021
D;Obra Social Independiente;Merendero;Instrucciones 2537 esq. Mazzei;Lunes a Sábado;15 a 17;junio;2021
D;Merendero Sonrisas (2);Olla y Merendero;Av. de las Instrucciones 4865;L, mi y v;18:30 y 20:30hs;junio;2021
D;Torre Fuerte;Merendero;Curucu 4296 entre Teniente Galeano y Teniente Rinaldi;sábados;16:00 a 18:00;junio;2021
D;Olla y Merendero Municipal;Olla y Merendero;Rambla Costanera 1619 pasaje A esq. Alberniz;Lunes, miércoles y viernes;18 hs;junio;2021
D;Asociación Civil Pilca y Lux;Merendero;Roldos Y Pons 4278 salon 3 y 4 de IMM;Lunes a viernes;14;junio;2021
D;Para Nuestros Niños;Olla y Merendero;Eduardo Amezaga 3487 entre Juan Acosta y Joaquín Artigas;Lunes, miércoles, viernes;17:00 a 19:30;junio;2021
D;Olla y Merendero Las Cachas;Olla y Merendero;Pasaje peatonal Pedro Bazán 3775 entre Mendoza y Timbres;lunes y viernes;17 y 20 hs;junio;2021
D;Olla china;Olla;Vázquez Cores 3034;Viernes y Sábado;19:30;junio;2021
D;olla Puesto Dantoni;Olla y Merendero;Benito Bershet 3881;Martes, miércoles, jueves, viernes y domingo;17:30 y 19:30hs;junio;2021
D;Olla Brazo Solidario;Olla;Camino Corrales 3041;Martes y sábados;martes 17, Sábado 9 am;junio;2021
D;Brazo solidario;Olla y Merendero;cno corrales y Suñer y Capdevilla;Sábado y martes;15 y 18hs;junio;2021
D;Olla Burgues;Olla y Merendero;Burgues 4259;L a D;S/D;junio;2021
D;Nuevo Amanecer (bello);Olla y Merendero;Av. de las Instrucciones, esq. antares barrio 23 de octubre, calle los robles, solar 33 familia cuadro;Lunes a domingo;17;junio;2021
D;Padre cacho Corazones Unidos;Olla;Calle H 356 esq. Ernesto Quintela;Lunes y jueves;18;junio;2021
D;Vecinos en lucha (Olla Solidaria - Bello);Olla y Merendero;Washington Silva esq. PetIrossi y Carlos A López;Lunes, miércoles y viernes;17 y 19hs;junio;2021
D;Olla 3 palmas;Olla y Merendero;San Martín 5131 esq. domingo arena (es la esquina);Lunes, miércoles, jueves y viernes;17 y 19:30hs;junio;2021
D;olla Lucas moreno;Olla y Merendero;Lucas moreno esq. Cirene (en la esquina);miércoles, viernes, Sábado y domingo;17:30 hs;junio;2021
D;Casa de los Niños;Olla y Merendero;Durant 3019 esq. 20 metros;miércoles y domingo;17hs;junio;2021
E;Barrios Unidos;Olla y Merendero;Oficial 17 mts 5081 esq Alberto zum felde;Lunes y Jueves;19;junio;2021
E;Merendero Aquiles Lanza (Del otro lado);Merendero;Dobrich solar 06 al fondo de la calle 22;Lunes, miércoles y viernes;15:30;junio;2021
